meadowID,area_ha
79021,0.7779
79022,7.55288
79023,2.58932
79025,1.43509
79027,1.72594
79028,2.50864
79029,3.97692
79030,1.60034
79031,2.94286
79032,3.34251
79033,1.70182
79035,1.20392
98001,0.39736
98002,3.95916
98003,7.99637
98004,1.68892
98005,2.94979
98006,3.50634
98007,1.92256
98008,2.59386
98009,3.72275
98010,5.55045
98011,4.21558
98012,11.04368
98015,2.63818
98016,1.50061
98017,2.25477
98018,2.35565
98019,3.07576
98020,4.21484
98021,4.07687
98022,2.90831
98023,4.59328
98024,3.182
98025,4.07274
98026,3.61587
98027,3.60807
98028,14.80236
98029,9.13886
98030,5.11142
98032,3.52827
98033,4.9965
98034,9.33896
