polygon_id,meadow_id,s2rep,ndvi,ndwi,savi,evi,msi,ndmi,mndwi,observer_estimated_class,soil_moisture,soil_resistance,vegetation_height,plant_richness_mean
564005_02,564005,720.5477294921875,0.7736040949821472,-0.7046661376953125,0.5955707430839539,0.6934348940849304,0.6057853102684021,0.2405695915222168,-0.5552847385406494,moderate,19.65555556,39.46666667,5.553333333,3.6666666666666665
564022_01,564022,720.61651611328125,0.7601608633995056,-0.6960299611091614,0.5685470700263977,0.6477979421615601,0.6328874826431274,0.21730376780033112,-0.5750702023506165,moderate,20.44444444,32.66666667,7.52,4.333333333333333
564022_02,564022,721.585693359375,0.7947669625282288,-0.7177771329879761,0.6128589510917664,0.7058899402618408,0.5719051361083984,0.26736557483673096,-0.5731399059295654,moderate,17.06666667,35.73333333,8.166666667,5
564022_03,564022,722.862548828125,0.8319706320762634,-0.759758472442627,0.6188063621520996,0.7140544652938843,0.49580103158950806,0.33351027965545654,-0.5919673442840576,moderate,20.63333333,39.86666667,11.86,3
564022_04,564022,723.17279052734375,0.8273328542709351,-0.7532640099525452,0.6135380268096924,0.7039508819580078,0.4720209240913391,0.32785314321517944,-0.5865361094474792,moderate,15.5,35.06666667,11.38,3
568033_01,568033,720.39990234375,0.8750261068344116,-0.7494639158248901,0.7119330763816833,0.8749528527259827,0.46188679337501526,0.4064702093601227,-0.4929170608520508,high,25.58888889,35.6,6.013333333,6
568033_02,568033,719.879638671875,0.807543933391571,-0.7046458125114441,0.6016461849212646,0.7059828639030457,0.5227842926979065,0.2755592167377472,-0.5202503800392151,high,27.38888889,26.4,7.453333333,5
575002_02,575002,723.95684814453125,0.9166087508201599,-0.8090999722480774,0.7680591344833374,0.9175692796707153,0.29052773118019104,0.570307731628418,-0.43242350220680237,moderate,24.03333333,35.86666667,19.88,6
575002_03,575002,723.1895751953125,0.9096235632896423,-0.7962862253189087,0.7418056726455688,0.8993926644325256,0.29290077090263367,0.5390040278434753,-0.45252725481987,moderate,23.65555556,26.06666667,19.8,7.333333333333333
575002_01,575002,725.58892822265625,0.9173601865768433,-0.8264585137367249,0.7485241889953613,0.9085407257080078,0.34965911507606506,0.4796031415462494,-0.5745718479156494,low,20.87333333,44.12,18.924,3.6
