polygon_id,meadow_id,s2rep,ndvi,ndwi,savi,evi,msi,ndmi,mndwi,observer_estimated_class,soil_moisture,soil_resistance,vegetation_height,plant_richness_mean,soil_resistance_std,soil_moisture_std,plant_richness_std,vegetation_height_std,habitat_class_knn_all_field,habitat_class_rbc_soil_richness
575019_01,575019,721.9209594726564,0.8632122874259949,-0.7633435130119324,0.6677828431129456,0.7940168380737305,0.4630754590034485,0.37952128052711487,-0.5413524508476257,high,36.97777778,20.66666667,8.773333333,3.3333333333333335,0.3110647182059877,0.3322122000357066,0.3181818181818182,0.2320300824533614,high,moderate
575019_02,575019,721.17523193359375,0.8286752104759216,-0.7366339564323425,0.6402759552001953,0.7492989897727966,0.49959734082221985,0.3237279951572418,-0.5424426794052124,high,41.32222222,19.33333333,6.226666667,4,0.2832289491054345,0.3919889925120933,0.40909090909090906,0.13995082681385898,high,high
79024_01,79024,719.33782958984375,0.7732329964637756,-0.6911922693252563,0.6046645641326904,0.7028019428253174,0.5426977276802063,0.2849390208721161,-0.5059443712234497,high,31.44444444,13.73333333,3.966666667,5.333333333333333,0.16631871946766275,0.256077052415347,0.5909090909090908,0.058236513541705226,high,high
79024_02,79024,718.02093505859375,0.7242774367332458,-0.6571091413497925,0.5341488122940063,0.6039189696311951,0.5536930561065674,0.31312480568885803,-0.46150174736976624,high,68.51111111,8.666666667,3.653333333,6.333333333333333,0.06054279749098897,0.7660908118096288,0.7272727272727272,0.046907390438570534,high,high
79020_01,79020,719.67626953125,0.786862850189209,-0.701105535030365,0.5945160388946533,0.6855884790420532,0.5572988986968994,0.27512383460998535,-0.5169470906257629,high,32.91111111,15.93333333,4.353333333,4,0.21224773825393026,0.27625745301096905,0.40909090909090906,0.07221713348746772,high,high
79020_02,79020,719.524169921875,0.7752777338027954,-0.6893391013145447,0.5990424752235413,0.6892685890197754,0.564113438129425,0.2783394157886505,-0.5168264508247375,high,29.78888889,13.96666667,5.42,4.666666666666667,0.17118997917508205,0.23329766096213736,0.5,0.1107843610026014,high,high
564029_01,564029,721.94671630859375,0.8782820105552673,-0.7669936418533325,0.68997722864151,0.8281468749046326,0.4231932461261749,0.4322030246257782,-0.5295321345329285,low,14.08888889,46.33333333,7.513333333,4.333333333333333,0.8469032705732629,0.017275645986323928,0.4545454545454545,0.18647254496534646,moderate,moderate
564029_02,564029,721.87841796875,0.8738595247268677,-0.7622418999671936,0.6945047378540039,0.8358486294746399,0.42946699261665344,0.4334704279899597,-0.5249661207199097,low,14.64444444,42.33333333,6.9,5.333333333333333,0.7633959636891402,0.0249197370272154,0.5909090909090908,0.1642963891631269,moderate,moderate
114090_01,114090,724.19378662109375,0.91481351852417,-0.8214380741119385,0.7339579463005066,0.871472179889679,0.39145827293396,0.48232924938201904,-0.553977370262146,low,19.48888889,42.73333333,13.90666667,1.6666666666666667,0.7717466943775524,0.09157621164679478,0.09090909090909091,0.4176348649445156,low,low
114090_02,114090,724.6695556640625,0.9179725050926208,-0.8259385228157043,0.7325958609580994,0.8699960112571716,0.3683236837387085,0.4863409101963043,-0.5576483607292175,low,15.4,53.66666667,20.33333333,3,1,0.0353157010079402,0.2727272727272727,0.6500024104095361,low,low
114091_01,114091,724.5762329101564,0.9273383021354676,-0.8374040722846985,0.7444791197776794,0.8780423402786255,0.3772931098937988,0.48818373680114746,-0.5729495882987976,low,12.83333333,47,16.95333333,3,0.8608211551235394,0,0.2727272727272727,0.5277925082591467,low,low
114091_02,114091,723.7850341796875,0.9254539012908936,-0.8356730937957764,0.7455635070800781,0.8936724066734314,0.4065636098384857,0.4784284830093384,-0.5817397832870483,low,16.66666667,46.86666667,15.36,2,0.8580375782969915,0.052744228801322623,0.13636363636363635,0.4701827122969414,low,low
583045_01,583045,723.70751953125,0.8894650936126709,-0.7955347895622253,0.6748636960983276,0.7889788150787354,0.401547372341156,0.43258270621299744,-0.5422475934028625,low,22.71666667,35.55,16.685,1.5,0.6217814891677381,0.13598838106907235,0.06818181818181818,0.5180904402109254,low,low
583045_02,583045,723.58172607421875,0.8898115754127502,-0.7954322695732117,0.67533940076828,0.7938336730003357,0.3970682919025421,0.42862504720687866,-0.5393890142440796,low,22.075,42.4,14.5,2.5,0.7647877522067983,0.1271594557826889,0.20454545454545453,0.43908788512258207,low,low
